symbol,name,exchange,is_etf,test_issue,yf_symbol,status
A,"Agilent Technologies, Inc. Common Stock",NYSE,N,N,A,Active
AA,Alcoa Corporation Common Stock ,NYSE,N,N,AA,Active
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,N,N,AACB,Active
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,N,N,AACI,Active
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,N,N,AACO,Active
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,N,N,AACOW,Active
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,N,N,AACP,Active
AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,N,N,AADX,Active
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,N,N,AAL,Active
AAME,Atlantic American Corporation - Common Stock,NASDAQ,N,N,AAME,Active
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,N,N,AAMI,Active
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,N,N,AAOI,Active
AAON,"AAON, Inc. - Common Stock",NASDAQ,N,N,AAON,Active
AAP,Advance Auto Parts Inc.,NYSE,N,N,AAP,Active
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N,N,AAPG,Active
AAPL,Apple Inc. - Common Stock,NASDAQ,N,N,AAPL,Active
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N,N,AARD,Active
AAT,"American Assets Trust, Inc. Common Stock",NYSE,N,N,AAT,Active
AAUC,Allied Gold Corporation Common Shares,NYSE,N,N,AAUC,Active
ABAT,American Battery Technology Company - Common Stock,NASDAQ,N,N,ABAT,Active
ABBV,AbbVie Inc. Common Stock,NYSE,N,N,ABBV,Active
ABCB,Ameris Bancorp Common Stock,NYSE,N,N,ABCB,Active
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,N,N,ABCL,Active
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N,N,ABEO,Active
ABG,Asbury Automotive Group Inc Common Stock,NYSE,N,N,ABG,Active
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,N,N,ABLV,Active
ABM,ABM Industries Incorporated Common Stock,NYSE,N,N,ABM,Active
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,N,N,ABNB,Active
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ABOS,Active
ABR,Arbor Realty Trust Common Stock,NYSE,N,N,ABR,Active
ABSI,Absci Corporation - Common Stock,NASDAQ,N,N,ABSI,Active
ABT,Abbott Laboratories Common Stock,NYSE,N,N,ABT,Active
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,N,N,ABTC,Active
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,N,N,ABTS,Active
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,N,N,ABUS,Active
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,N,N,ABVC,Active
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,N,N,ABX,Active
ACA,"Arcosa, Inc. Common Stock ",NYSE,N,N,ACA,Active
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,N,ACAA,Active
ACAAW,Averin Capital Acquisition Corp. - Warrants,NASDAQ,N,N,ACAAW,Active
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,N,N,ACAD,Active
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,N,N,ACB,Active
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,ACCL,Active
ACCO,Acco Brands Corporation Common Stock,NYSE,N,N,ACCO,Active
ACCS,ACCESS Newswire Inc. Common Stock,NYSE American,N,N,ACCS,Active
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,N,N,ACDC,Active
ACEL,"Accel Entertainment, Inc. ",NYSE,N,N,ACEL,Active
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,N,N,ACET,Active
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,N,N,ACFN,Active
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,N,ACGC,Active
ACGCW,ACP Holdings Acquisition Corp. - Warrants,NASDAQ,N,N,ACGCW,Active
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,N,N,ACGL,Active
ACH,"Accendra Health, Inc. Common Stock",NYSE,N,N,ACH,Active
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,N,N,ACHC,Active
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,N,N,ACHR,Active
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,N,N,ACHV,Active
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,N,N,ACI,Active
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,N,N,ACIC,Active
ACIU,AC Immune SA - Common Stock,NASDAQ,N,N,ACIU,Active
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,N,N,ACIW,Active
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,N,N,ACLS,Active
ACM,AECOM Common Stock,NYSE,N,N,ACM,Active
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,N,N,ACMR,Active
